Server_ID,Hostname,OS_Version,Allocated_vCPU,Allocated_RAM_GB,Peak_CPU_Pct,Avg_CPU_Pct,Storage_GB,App_Name,Business_Tags,Outbound_Connections,requires_manual_audit,Normalized_CPU_Pct
SRV-001,hr-web-01,Windows Server 2019,2.0,8.0,65,25,100.0,HR_Portal,Internal,SRV-002:8080:150|SRV-003:1433:20,False,53.0
SRV-002,hr-app-01,Windows Server 2019,4.0,16.0,80,45,200.0,HR_Portal,Internal,SRV-003:1433:450,False,69.5
SRV-003,hr-db-01,SQL Server 2019,8.0,32.0,90,60,500.0,HR_Portal,Internal,,False,81.0
SRV-004,pay-app-01,Windows Server 2008,4.0,8.0,55,30,150.0,Payment_Gateway,PCI-DSS,SRV-005:1521:800,False,47.5
SRV-005,pay-db-01,Oracle Linux 6.4,16.0,64.0,75,50,2000.0,Payment_Gateway,PCI-DSS,,False,67.5
SRV-006,old-test-01,RHEL 5,1.0,2.0,5,1,40.0,Unknown,,,False,3.8
SRV-007,mail-exch-01,Windows Server 2012,8.0,32.0,85,60,1000.0,Exchange,Corp_Comms,,False,77.5
SRV-008,crm-web-01,Ubuntu 20.04,2.0,4.0,40,15,80.0,CRM,External_Facing,SRV-009:5432:300,False,32.5
SRV-009,crm-db-01,Ubuntu 20.04,4.0,16.0,60,35,500.0,CRM,External_Facing,,False,52.5
SRV-010,ad-dc-01,Windows Server 2019,2.0,8.0,30,10,100.0,Active_Directory,Core_Infra,SRV-011:445:10,False,24.0
SRV-011,ad-dc-02,Windows Server 2019,2.0,8.0,35,12,100.0,Active_Directory,Core_Infra,SRV-010:445:10,False,28.1
SRV-012,dns-01,CentOS 7,1.0,2.0,15,5,40.0,Core_DNS,Core_Infra,SRV-013:53:5,False,12.0
SRV-013,dns-02,CentOS 7,1.0,2.0,20,6,40.0,Core_DNS,Core_Infra,SRV-012:53:5,False,15.8
SRV-014,erp-web-01,Windows Server 2016,4.0,16.0,70,40,50.0,ERP_System,SOX,SRV-016:8080:200|SRV-017:8080:200,True,61.0
SRV-015,erp-web-02,Windows Server 2016,4.0,16.0,68,38,150.0,ERP_System,SOX,SRV-016:8080:190|SRV-017:8080:190,False,59.0
SRV-016,erp-app-01,RHEL 7,8.0,32.0,85,55,300.0,ERP_System,SOX,SRV-018:1521:850,False,76.0
SRV-017,erp-app-02,RHEL 7,8.0,32.0,80,50,300.0,ERP_System,SOX,SRV-018:1521:800,False,71.0
SRV-018,erp-db-primary,Oracle Linux 7,16.0,128.0,95,70,5000.0,ERP_System,SOX,SRV-019:1521:1500,False,87.5
SRV-019,erp-db-standby,Oracle Linux 7,16.0,128.0,40,15,5000.0,ERP_System,SOX,,False,32.5
SRV-020,ecom-web-01,Ubuntu 22.04,2.0,8.0,75,45,80.0,E-Commerce,PCI-DSS,SRV-024:8443:500,False,66.0
SRV-021,ecom-web-02,Ubuntu 22.04,2.0,8.0,78,48,80.0,E-Commerce,PCI-DSS,SRV-024:8443:520,False,69.0
SRV-022,ecom-web-03,Ubuntu 22.04,2.0,8.0,72,42,80.0,E-Commerce,PCI-DSS,SRV-025:8443:490,False,63.0
SRV-023,ecom-web-04,Ubuntu 22.04,2.0,8.0,80,50,80.0,E-Commerce,PCI-DSS,SRV-025:8443:510,False,71.0
SRV-024,ecom-app-01,Ubuntu 22.04,4.0,16.0,85,60,150.0,E-Commerce,PCI-DSS,SRV-026:3306:1200,False,77.5
SRV-025,ecom-app-02,Ubuntu 22.04,4.0,16.0,82,58,150.0,E-Commerce,PCI-DSS,SRV-026:3306:1150,False,74.8
SRV-026,ecom-db-primary,RHEL 8,8.0,64.0,90,75,2000.0,E-Commerce,PCI-DSS,SRV-027:3306:2000,False,85.5
SRV-027,ecom-db-replica,RHEL 8,8.0,64.0,50,25,2000.0,E-Commerce,PCI-DSS,,False,42.5
SRV-028,dev-erp-01,Windows Server 2012,2.0,4.0,90,15,100.0,ERP_Dev,Non-Prod,SRV-029:1521:50,False,67.5
SRV-029,dev-erp-db,Oracle Linux 6.4,4.0,16.0,45,10,500.0,ERP_Dev,Non-Prod,,False,34.5
SRV-030,old-poc-01,RHEL 5,1.0,2.0,2,0,50.0,POC_Archived,,,False,1.4
SRV-031,test-web-05,Ubuntu 18.04,2.0,4.0,3,1,60.0,Web_Test,Non-Prod,,True,2.4
SRV-032,qa-sim-01,Windows Server 2019,4.0,4.0,15,5,200.0,QA_Tools,Non-Prod,,True,12.0
SRV-033,med-ui-01,Windows Server 2008 R2,2.0,8.0,60,35,120.0,Med_Records,HIPAA,SRV-035:443:300,False,52.5
SRV-034,med-ui-02,Windows Server 2008 R2,2.0,8.0,55,30,120.0,Med_Records,HIPAA,SRV-035:443:280,False,47.5
SRV-035,med-app-01,Windows Server 2008 R2,4.0,16.0,75,45,250.0,Med_Records,HIPAA,SRV-037:1433:900,False,66.0
SRV-036,med-app-02,Windows Server 2008 R2,4.0,16.0,70,42,250.0,Med_Records,HIPAA,SRV-037:1433:850,False,61.6
SRV-037,med-db-01,SQL Server 2008,16.0,64.0,85,60,4000.0,Med_Records,HIPAA,,False,77.5
